product_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
fashion_underwear_beach,bed_bath_table,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,home_appliances_2,home_appliances,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,la_cuisine,luggage_accessories,market_place,music
fixed_telephony,computers_accessories,sports_leisure,cool_stuff,housewares,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,home_construction,home_confort,home_appliances_2,home_appliances,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,home_comfort_2,la_cuisine,market_place,furniture_bedroom
flowers,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,la_cuisine,home_appliances_2,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,home_appliances,food_drink,luggage_accessories,music,toys
food,perfumery,electronics,health_beauty,sports_leisure,agro_industry_and_commerce,housewares,home_construction,home_confort,home_comfort_2,home_appliances_2,home_appliances,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,industry_commerce_and_business,kitchen_dining_laundry_garden_furniture,luggage_accessories,food_drink
food_drink,sports_leisure,housewares,agro_industry_and_commerce,industry_commerce_and_business,home_construction,home_confort,home_comfort_2,home_appliances_2,home_appliances,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,kitchen_dining_laundry_garden_furniture,la_cuisine,luggage_accessories,market_place,toys
furniture_bedroom,bed_bath_table,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,home_appliances_2,home_appliances,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,la_cuisine,luggage_accessories,market_place,music
furniture_decor,air_conditioning,art,home_appliances,market_place,books_general_interest,computers,construction_tools_lights,home_confort,industry_commerce_and_business,baby,furniture_living_room,electronics,housewares,home_construction,perfumery,cool_stuff,garden_tools,office_furniture,bed_bath_table,computers_accessories
furniture_living_room,toys,office_furniture,baby,unknown,bed_bath_table,furniture_decor,agro_industry_and_commerce,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,health_beauty,home_appliances,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_bedroom,home_appliances_2,kitchen_dining_laundry_garden_furniture
furniture_mattress_and_upholstery,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,la_cuisine,home_appliances_2,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,home_appliances,food_drink,luggage_accessories,music,toys
garden_tools,stationery,home_construction,art,construction_tools_lights,office_furniture,baby,computers_accessories,bed_bath_table,furniture_decor,housewares,telephony,construction_tools_construction,electronics,fashion_bags_accessories,luggage_accessories,auto,sports_leisure,watches_gifts,pet_shop,health_beauty
health_beauty,baby,books_technical,small_appliances,food,electronics,watches_gifts,perfumery,consoles_games,office_furniture,sports_leisure,stationery,drinks,bed_bath_table,toys,fashion_bags_accessories,unknown,cool_stuff,computers_accessories,pet_shop,housewares
home_appliances,construction_tools_construction,furniture_decor,bed_bath_table,la_cuisine,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,housewares,home_construction,home_confort,home_appliances_2,luggage_accessories,home_appliances,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,home_comfort_2,market_place,agro_industry_and_commerce,music
home_appliances_2,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,la_cuisine,home_appliances_2,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,home_appliances,food_drink,luggage_accessories,music,toys
home_comfort_2,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,la_cuisine,home_appliances_2,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,home_appliances,food_drink,luggage_accessories,music,toys
