,Unnamed: 0,product_name,total_orders,total_revenue,price_per_order,average_frequency,review_score,cluster
40,40,garden_tools,4347,485256.4599999993,111.6301955371519,0.03267372296364473,4.028932261768083,0
41,41,flowers,33,1110.0399999999997,33.637575757575746,7.46875,4.212121212121212,3
42,42,diapers_and_hygiene,39,1567.59,40.194615384615396,17.763157894736842,3.2564102564102564,3
43,43,industry_commerce_and_business,268,39669.610000000015,148.02093283582096,2.2322097378277155,4.067164179104478,3
44,44,computers_accessories,7827,911954.3200000304,116.5139031557468,0.014822386915410171,3.917567739473349,0
45,45,musical_instruments,680,191498.87999999875,281.61599999999817,0.4653902798232695,4.135294117647058,3
46,46,la_cuisine,14,2054.99,146.785,28.30769230769231,3.7857142857142856,3
47,47,books_imported,60,4639.8499999999985,77.3308333333333,8.542372881355933,4.4,3
48,48,books_general_interest,553,46856.880000000245,84.73215189873461,0.8713768115942029,4.4394213381555145,3
49,49,books_technical,267,19096.05999999999,71.5208239700374,2.1616541353383463,4.333333333333333,3
50,50,luggage_accessories,1092,140429.97999999835,128.5988827838813,0.20898258478460127,4.309523809523808,3
51,51,market_place,311,28378.470000000063,91.2490996784568,1.8,4.0,3
52,52,furniture_mattress_and_upholstery,38,4368.08,114.94947368421052,11.135135135135135,3.8157894736842106,3
53,53,kitchen_dining_laundry_garden_furniture,281,46328.370000000075,164.86964412811415,1.6928571428571428,3.9503546099290783,3
54,54,furniture_decor,8334,729762.4900000462,87.56449364051431,0.015000600024000959,3.8859052392886984,0
55,55,office_furniture,1691,273960.69999999844,162.01105854523857,0.1911242603550296,3.4826368452030607,3
56,56,furniture_bedroom,109,20028.78,183.75027522935775,5.157407407407407,4.118181818181818,3
57,57,furniture_living_room,503,68916.56000000011,137.01105367793264,0.7988047808764941,3.882703777335984,3
58,58,music,38,6034.3499999999985,158.79868421052632,15.513513513513516,4.2105263157894735,3
59,59,stationery,2517,230943.2299999952,91.75336909018485,0.058426073131955476,4.1826121476776486,3
60,60,computers,203,222963.12999999968,1098.34054187192,2.49009900990099,4.142857142857143,1
61,61,perfumery,3419,399124.86999999953,116.73731207955528,0.04271503803393797,4.159416058394161,3
62,62,pet_shop,1947,214315.40999999657,110.07468412942814,0.12744090441932168,4.175654853620955,3
63,63,small_appliances_home_oven_and_coffee,76,47445.71000000001,624.2856578947369,5.173333333333333,4.302631578947368,1
64,64,watches_gifts,5991,1205005.6799999974,201.1359839759635,0.024040066777963272,4.0013340003335,0
65,65,security_and_services,2,283.29,141.64499999999995,234.0,2.5,2
66,66,signaling_and_security,199,21509.23000000001,108.08658291457293,2.2525252525252526,4.0703517587939695,3
67,67,tablets_printing_image,83,7528.409999999993,90.70373493975895,5.585365853658537,4.048192771084337,3
68,68,telephony,4545,323667.52999998827,71.2139779977972,0.03389084507042254,3.934653465346535,3
69,69,fixed_telephony,264,59582.99999999991,225.6931818181815,2.20532319391635,3.6704545454545454,3
70,70,housewares,6964,632248.660000022,90.78814761631563,0.017952032170041647,4.0390131956397015,0
